Country,Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chile,Biomass,29787916,30532569,30428865,29606875,31410218,28226292,29269628,31991796,30331754,32889241,33649734,36649996,33574492,33258656,35796747,33896363,35017815,35621547,36834678,38914899,37401217,38956953,44753367,45547333,48072529,52924366,55208012,58773253,60220601,52766331,59012690,57708495,58747659,59669316,61193410,70815957,68585878,69095598,74870342,72384514,74633909,81356891,82397173,81489325,78385045,79157334,78830109,77094509,81884308,83796730,86464727,92952224,91623525,94064179,93839984
Chile,Fossil fuels,13183600,14880992,15393564,18887646,16109225,8038927,9561099,10816816,10326422,12133333,13253363,14259971,11233253,9626821,9741414,9027880,8949633,8984027,9868448,11278290,11249038,10642963,12788523,13519163,14157700,15898837,17870613,20046983,20267016,18363248,19359773,19997247,21119876,22523254,24878945,28439204,30258769,31991426,36247500,30625134,35525897,38321418,41646295,44089228,42320254,37927251,37827424,37079906,41951010,42994380,41609923,48914167,45158006,47655071,47347671
Chile,Metal ores,26176405,28099364,26091004,28932427,32518708,17468119,23739217,25280128,24629592,28518798,32658254,36758179,33735952,28508048,29777706,28166159,26379478,27164841,28935428,33655912,35367442,32774524,43681341,53656451,53250159,51679618,64857801,69356236,83298330,83148341,87590774,92005359,79559769,74374986,62292307,60503031,55727106,49634453,45091236,46349488,50313528,49788486,51850846,54360590,53862585,59476054,58099960,60553210,59200548,61642445,57122301,65462724,65758194,67901515,69083251
Chile,Non-metallic minerals,18807164,17412786,17453083,20143924,18724031,9464993,11030649,13442203,15320067,17955553,21130202,23706361,14780833,13882875,14425663,13902486,14430165,16268625,18622088,19735177,21078417,20101457,24979959,29346498,30058830,31431429,35162773,36726552,37733887,30097635,32584321,33739837,34592344,37573208,40405460,50110533,47701235,55138732,62291206,50219795,57611843,64609521,62112920,59297381,48120066,46312307,56218784,50696391,62432004,61507960,64287912,71956071,73252869,77818775,79367924
China,Biomass,1011345290,1038178878,1019973211,1105591371,1122369952,1161508714,1160916258,1161816045,1251911888,1286987413,1273560538,1289009697,1370572771,1468734087,1538662372,1482983861,1517023991,1566863059,1566349773,1604596226,1729802344,1704227420,1779025040,1865691276,1749574060,1913547836,2214099951,2089760803,2236396515,2267035976,2215434121,2304876783,2375075207,2614421801,2774742350,2790905163,2701330748,2677214692,3068196397,3194134510,3306536773,3462497282,3592100142,3735499342,3808863358,4026087450,3996320735,4148671088,4244603650,4274192749,4313369769,4427757987,4400836812,4429753531,4498785631
China,Fossil fuels,405798910,419462033,442858203,459079780,460390219,534101456,537646208,604013836,676068848,699733983,688412600,676657724,712344665,760515762,834280396,853332704,861223352,887293116,944398921,1015485115,1006588805,993847967,1042871445,1126288029,1121458108,1234568401,1316417321,1199894800,1193975024,1169034407,1256953610,1345688331,1418690451,1631635282,1859597530,1993767148,2172542536,2253044432,2439357302,2857732602,3160717466,3599058705,3741039346,3832837032,3782829727,3808541834,3671191995,3841590313,4099382282,4249363597,4269960102,4412757902,4269634713,4303095575,4360682978
China,Metal ores,134226890,147275189,178610817,180789693,181514424,190848742,187155206,191830216,210214723,225052929,236584257,229843790,265577290,278032454,305138281,323471995,324870237,366495383,397934476,430695402,411391921,408335012,473351095,524444640,535156789,553876200,579512555,616447806,581731192,622379983,691609008,738772970,845673137,1039944329,1167250845,1265713895,1452905686,1517755953,1900622391,2282351101,2601349093,3121658925,3319862500,3684246309,3986055539,3972120060,4136276786,3973374250,3652054157,3671125574,3664092539,3757578211,3646017475,3639367412,3760716390
China,Non-metallic minerals,586581670,689379836,740661625,739672611,755855725,806543060,933322396,980288569,1064316510,1134136308,1193688389,1228710558,1294984460,1551971498,1797147913,2098592132,2478978062,2674689391,3113482834,3127158989,2911696196,3211665150,4107003069,4852479680,5219371829,5763804739,5934352952,5941103419,6207176416,6412705034,6556630096,6962431902,7217211630,8130272886,8876459756,9223437977,10145999057,10502182735,10970013702,13496335376,15313668684,16757922770,18287996196,19893212390,20590008471,20086888112,20448846255,20366363149,19978949091,20814494907,21504237640,22230319630,22576875913,23135787338,23925805206
Colombia,Biomass,114564674,119909567,124726530,128396537,133438816,142105807,147583057,149926622,156424254,158439438,160499572,159958569,161331035,160233005,158001373,159256949,159509361,162069176,164973147,168826027,172867872,170234130,177674727,186393257,196793018,200044278,205810940,206880737,202700830,193633793,192328367,193075594,200382984,199952011,201661695,206319191,202744267,208462088,199783866,211759352,209261035,202357310,193597329,206304135,205838575,207133225,207589404,196126251,212164466,228366471,214887098,218037626,222404880,225031434,223320575
Colombia,Fossil fuels,9523852,9455438,9219476,9255051,9241809,8594358,8830793,9506684,9965685,10576396,11172773,11543636,12116758,12176910,12688434,12095899,14378330,16178359,16406368,16979004,18121283,17026116,20745670,23179582,22876995,26359717,25483555,25896509,25547425,22880347,19897103,20326844,21151347,21183813,21579188,23792489,25070139,27671790,28843441,31868047,34950963,38199557,39478388,41526916,43307615,42771074,46135675,44202140,44512288,42982002,40091288,40537822,40881497,41393951,41237385
Colombia,Metal ores,3341161,3215988,3226520,3351977,3637939,3524979,3724933,3798842,3746468,4000715,4930426,5171176,5139566,5055840,6328613,7163603,7237464,5819088,6024542,6004230,5728179,6632583,7997497,8481838,9411602,10131261,10674280,11474700,10675756,10563488,11435075,11992651,11320329,14529904,13199021,14308015,14878941,17392841,19271581,20853143,20227078,20887293,23396190,22236761,23926293,23301328,21561600,21011553,20742786,20669054,19111839,21094377,21536469,21791818,22158153
Colombia,Non-metallic minerals,22117085,30109392,20550127,23960772,25304888,23954639,25833475,26788526,31493180,32345272,28513392,30067677,33333392,32491314,34928628,35407431,38156227,35163463,39885452,39714066,34705875,34129181,42182301,50541517,52595591,50443008,48504478,46123377,52200621,54864803,55909586,43032623,44135648,49027798,52412487,63808998,77007059,86999020,89556504,81851265,89097945,103508700,125542456,132256742,150517313,157142984,133827660,127754821,130039773,135084575,126509797,143112776,150976831,157389217,159487322
Costa Rica,Biomass,8738862,9041204,9514012,10105535,9722510,10474536,10919617,11829160,12266936,12771269,12927803,11343467,11083347,11735676,12831555,12693327,12647473,12255929,11864079,11890187,13006040,12621071,12718381,12481040,13382066,12269561,12832688,12783316,12900680,12992088,10621983,11736842,11858207,12441236,15158595,17924138,15692190,18010345,19070942,18355474,17585423,17374500,19764749,20350188,19165612,19390673,18796551,17790917,16914735,18109326,17633921,16751137,17094529,17708127,17713576
Costa Rica,Fossil fuels,2194870,2181194,2231250,2453318,2365059,2287390,2496454,2766208,2727329,2836367,2983899,2015316,1960887,2052325,2253722,2272020,2346338,2269715,2252065,2361719,2423614,2380682,3354219,3827348,3949749,3983335,4355531,4509394,4910846,4707536,4223921,4028594,3976290,4306879,4583313,4537309,4580333,4813503,5407030,4261826,4830257,4988556,5371607,5312433,5901872,5704265,5532429,5069446,5955393,5884549,5142157,5924925,5881371,6276272,6318377
Costa Rica,Metal ores,1763681,1739092,1917494,2085928,2016992,1950360,2052531,2131282,2129748,2123036,2276964,1679387,1784281,1891072,1977722,2274079,2268529,1852568,1868965,1894270,2277062,1541649,1985377,2086236,2287750,2148310,2133338,2158832,2780624,2259113,2017823,2138148,2325650,2361528,2556322,2776554,3977103,3804328,3185277,2594536,2929303,3405936,3688473,5468420,4445507,4621926,4054613,7242169,6610209,7055399,3323851,3829855,3841307,4056715,4177176
Costa Rica,Non-metallic minerals,3737006,4126994,4513772,5148214,6555024,6144290,5769425,6841483,7953356,8239981,8343221,5147879,4824958,5281931,5876914,6283387,7205018,7834737,7584849,9446450,9131584,8810822,9683412,11372682,13249476,11678698,11766631,12605540,16891853,17409678,15507715,15418960,16077365,17128564,19283729,18443484,23900776,22880688,23366232,19196519,26707466,26242344,25192055,25953997,28157474,27824691,28339896,27663289,24650070,24397944,23361547,26378117,27668812,29226961,29712862
Cote d'Ivoire,Biomass,23884300,24775548,23959973,24746838,25360848,27791237,29452113,30290710,31636390,33297703,37042356,37015541,38278764,35996262,35949052,35285063,37061788,37541836,37666399,38473390,40612680,41872118,41899369,41511507,38186296,38773938,38533309,35800624,34212884,36076545,34733434,34956730,38639264,38726129,37735670,36818229,40040434,43045166,42249615,39907088,43379159,43405435,44663684,46239543,49408258,62220178,58851290,62657749,63994631,68255400,80995834,117979491,120244186,121168051,124549319
Cote d'Ivoire,Fossil fuels,2315396,2687687,3146428,3924434,4295531,4196583,5096959,5910851,6000058,6907591,6406216,4309196,3708775,3278610,3440369,3565265,4146171,3792889,3902904,4382774,5043092,3814692,4543143,3834338,2292922,2951231,3888686,3088452,3279905,3786065,4047600,3647545,3648361,5003155,5029645,4531505,4533069,4826243,5038401,5423614,5306801,4630603,5128340,6199768,6055262,6342295,6204389,6429331,7384017,9055860,7936675,17219463,16685108,17471758,17752087
Cote d'Ivoire,Metal ores,590446,593441,634607,720987,769418,845256,930406,1036248,1028261,1088370,1074212,886665,784030,707160,761953,802760,910098,913945,864580,888513,993663,741120,918253,805057,622098,933663,1160283,1046400,1078853,1132786,1090115,963317,1048163,1329133,1464792,1448891,1793101,1893955,1799658,2060358,1939545,1778459,1942941,2723203,2564291,3349722,3305726,3169056,3077192,8646081,23498247,23332166,24234624,24566068,25479004
Cote d'Ivoire,Non-metallic minerals,5640936,6295342,7225123,8263929,8642943,9608326,11283872,14986725,16185457,17119347,16823787,15264069,13535186,10713887,12927721,10674444,13264522,13764028,12228863,11439149,9228691,8922430,8501340,7481598,6299361,10003485,11062871,13195379,11581186,12119815,11210314,11862153,13301811,14346527,13631416,12923025,14959849,15082199,13890112,14819593,15993171,18015014,31875868,37737743,37402504,46491286,42980978,57478902,61081146,85078826,62996336,210971019,219602070,226901769,236812991
Croatia,Biomass,,,,,,,,,,,,,,,,,,,,,,,10723299,10808229,11570514,13461072,12752833,14829075,14561197,15054541,10916015,13271873,15603629,13037358,17204791,18543082,18716505,17201044,21144132,18571836,16302496,17174913,15439271,15578455,15915958,14839725,16510022,14301497,16149359,15660087,16259583,15044522,15337875,15531880,15678086
Croatia,Fossil fuels,,,,,,,,,,,,,,,,,,,,,,,10330454,8986340,9955194,13362772,12405706,14847704,12907337,12202307,10726372,11048889,12408876,13965860,13212685,13118087,13326278,13755263,14172611,12649132,10797219,10459397,9820958,9415603,8652380,9253013,9487867,10591625,11214936,10938748,10792411,11235128,10804584,11562608,11648028
Croatia,Metal ores,,,,,,,,,,,,,,,,,,,,,,,3138339,3657938,3792034,4551062,4532844,5575833,4789510,4709661,4783369,5304088,5658695,5107765,6853656,6799903,6323634,6231584,6252218,5225106,4404555,4237298,3848141,3735978,3838324,3173268,3262645,3343160,3178281,3359693,3321620,3663445,3729298,3936177,4067472
Croatia,Non-metallic minerals,,,,,,,,,,,,,,,,,,,,,,,18607604,17367679,16758103,22673135,24032782,33032898,33085824,31656589,28840848,32038778,38748395,50802493,49234160,48877819,51273571,61201850,59745922,48339963,41208856,50291559,43000432,40742472,31949476,27700355,36118418,25878058,26210025,24906140,26755738,27639120,29412738,31031172,32440149
Cuba,Biomass,57902430,48042493,44822056,48729104,48634729,49559449,49972968,51930277,57055803,58887607,53823379,54229924,57332146,56526962,59995453,55320122,55335422,56155139,56516816,59538592,48508995,78586925,85624712,61304526,67326588,61878841,58472741,65466563,65842677,70435333,69733815,68453559,84270919,47362006,64908482,49327648,41672620,41019744,42368994,33798713,30780344,31916346,33234408,34378081,37583457,45115594,43942219,44977790,36541166,42420425,39707856,37753842,38054930,38428568,38119346
Cuba,Fossil fuels,13561541,13934763,14443122,14817047,14588651,14577203,15026519,14184031,15007596,15032655,14088257,14675817,15195488,15722265,17643166,17137168,15078637,13979754,14420142,13954549,10387997,11484814,6251778,5180730,6485736,6505451,5037494,6216818,7474124,8407137,6900893,6665911,6260890,6804964,4931584,3729309,4893207,4772665,6571356,4273472,5546806,6001512,6050248,6647590,6022436,7025290,5738283,5966051,6524649,5550992,5307018,4916462,4740140,4741379,4684040
Cuba,Metal ores,6072469,6485054,6675510,6885924,6722488,6559022,6599387,6071424,6123493,6028153,5662185,5689764,5750451,5973999,6365883,6232946,5565743,5331390,5356019,4982035,4136533,4848563,2643527,1938222,2103201,2173625,1856975,2049851,2356882,2704578,2360234,2411664,2059004,1720702,1798272,2529045,3812310,3957462,4647866,2157576,2937066,3556262,3328789,3555526,3164936,3267561,2924134,2634120,2308586,2232806,1911322,3859679,3842875,3871180,3923706
Cuba,Non-metallic minerals,12411133,14350949,15919510,21206147,22370438,27340284,29731565,29867973,32288038,30133708,32031960,35076659,34167367,36276606,38574051,38266094,37966814,39130061,40408128,38824134,37642017,33642403,34289061,29723212,24689483,28725858,33126372,37504230,38338459,39397304,16261551,15577626,14121853,16592641,15644946,10966276,16627971,22406478,22789707,13454878,19731792,28210755,32094506,24139468,21625240,30908317,33368060,28257743,30768735,28873674,28975603,27199000,28347179,29449506,29737077
Cyprus,Biomass,2542960,2680436,2649512,2513180,2488441,2091886,2325065,2391596,2454491,2545629,2655580,2621483,2742693,2690983,2870567,2900791,3014632,3099585,3205691,3269699,2808811,3604105,4022301,3622775,3221936,4509696,4439605,6044843,4353531,5427734,4818579,4353052,5052889,4611820,4878410,4520923,4391675,3485703,4849937,4730337,4284310,5687377,3994349,4009680,4193692,3949696,5037137,12454748,4972922,6635218,5299621,5314099,5196402,5281297,5325859
Cyprus,Fossil fuels,1707437,1806642,1885619,1963375,1905811,1880615,1965311,2037146,2058992,2256951,2305931,2240844,2281831,2249139,2337946,2473466,2681466,2834762,2977814,3059332,2214234,2199248,2913334,2225213,2370031,2556065,2481113,2430143,2069698,2854413,2618680,2035089,2765030,2787639,3052238,2911749,2988802,2553493,3877422,3448636,3942865,3018478,2665483,2071161,2471404,2298521,1999393,2697064,2767870,2799124,3065285,3068343,2816078,2995100,3006810
Cyprus,Metal ores,1291968,1321358,3724503,3436283,2919131,2263504,2069064,1951146,1722941,1340875,1205454,1230114,1322845,1416527,1483491,1523288,1451700,1376188,1463354,1520947,1389280,1411827,1837704,2045702,1692147,4555106,1724813,3061927,2113196,2412634,1743326,1968153,2039838,2507073,1799258,1332262,1639114,1827668,2460343,2019276,2448971,2851113,1954300,1980343,2056454,1322900,1298134,1497357,1322109,1349994,1481115,1524971,1462966,1514673,1552523
Cyprus,Non-metallic minerals,3972484,5190847,6268265,6456850,4758689,3349127,4076332,5327424,6308822,8064542,9815322,8691206,8804782,9169683,8793307,8723171,8662664,8476548,8796567,9516425,10347236,10500129,11419020,11015255,10984548,11373493,9977917,10650198,15151793,18349354,16332286,16862948,27413050,26908466,29776511,24269014,32547080,33187243,31197608,33600933,35243952,30284096,20092601,13379165,14483412,13420771,16821094,18560652,18666812,18414876,19630438,19747998,20130266,21394873,22338758
Czechoslovakia,Biomass,40488475,41522992,42587169,43363827,45033863,42540492,40495137,46454720,46582668,43400519,44277361,44657211,47601942,46825962,49710004,48648004,45964193,46319149,45208366,45533419,47891470,48049715,46569029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Fossil fuels,94540654,93364442,93728320,90829307,91499247,95073318,96273618,109184423,107896395,110250927,107289916,111479722,112908997,114066094,112993371,112167789,114946036,119206836,115027284,108612355,145926758,77050717,85415294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Metal ores,20325791,20586783,19889789,20014059,21341447,18418151,18789123,19975492,19275128,18755560,18116267,19990419,19445963,19061853,17509918,17370553,17177331,21070881,19331468,17105281,22635147,10722402,9514932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Non-metallic minerals,66598661,69767986,70329234,70530867,72694905,75687531,97975506,104127339,104754536,103016686,106769266,110338628,104699319,103328093,99949269,99822475,99911465,100425863,102173886,80524313,95492652,58214674,52622445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Biomass,,,,,,,,,,,,,,,,,,,,,,,,33502953,33756856,33593065,37819818,38550719,34426486,39549242,36801161,40202611,37391643,35048966,42734976,39452378,36097729,37966922,39752308,37622098,35145551,37336646,33377322,34511440,40085005,39842621,41959250,40677991,41726494,43610603,42999461,45594607,46014395,46863458,47372761
Czech Republic,Fossil fuels,,,,,,,,,,,,,,,,,,,,,,,,79948282,72503278,72719292,76410177,71485309,66600595,63720432,65772071,65371269,68014347,70759217,71156341,72729092,76068026,79369136,85766647,75412149,79737713,84512592,81266367,74434068,67522950,62824258,62323011,64555893,67850876,62414906,48912237,61797137,57564132,61673128,61929046
Czech Republic,Metal ores,,,,,,,,,,,,,,,,,,,,,,,,8565647,9042421,11036675,11193379,10925526,10861721,12382377,11390357,11073610,11218448,11849657,14368697,16384155,14243414,15987167,16817793,14132633,14357718,14709661,14065033,13699612,13590585,13176717,12599915,13365617,13935849,14306762,13977230,17052158,16654378,17687835,18266995
Czech Republic,Non-metallic minerals,,,,,,,,,,,,,,,,,,,,,,,,57901150,65843571,70591553,70567453,70937279,69534938,71682217,75190792,74153058,77813648,83772527,93820117,101295209,86756505,94541560,95467236,77051762,73586874,78199899,68544199,63356781,64994260,69718570,65904412,67754758,73505906,75370527,73451245,78517062,81263922,85615232,89098690
Denmark,Biomass,31419639,31602023,31973364,33986257,34898963,34144027,34467238,35828170,36388627,36636694,34472113,33429550,34593260,32560898,35253563,34588656,36265588,35772655,35966062,35791930,30660295,31081321,40240799,41172131,49852243,55359609,57474097,54718072,54508096,57265937,48804194,47607710,40815496,45223307,43483818,51678329,48946717,47100894,48797000,51435359,44728756,47167050,47787218,50735472,42347571,45333381,43822119,46997420,43109003,45798512,35545591,35588898,35746691,35867329,35961892
Denmark,Fossil fuels,13200365,13659558,14690578,16163159,16410223,17808179,19151316,19903975,20831202,22282655,21227001,19498926,19400037,19395710,19612370,21340848,26106897,29862896,30397771,30083383,23872437,18934706,24803516,21952601,22801208,23824253,24231776,24735229,25898461,23385870,24970247,24689646,25333007,25789544,28262559,29372180,30493753,31311890,33164547,28881945,26338056,26890637,26482458,28130225,27030274,26483593,25103608,27132628,26516908,25179968,24928646,26706025,25100235,26095987,25921980
Denmark,Metal ores,10668145,10793180,11251275,12192341,11785810,11747339,12299401,11784573,11849257,12297781,11276272,10054433,9662381,9756186,10176639,10870192,12675559,13519075,12997220,12506877,8731471,8871904,9447523,9317064,10382169,11116524,10843385,11363918,12703705,10268733,11048908,11032024,10396600,10595501,11541061,11932421,13411614,13997372,13566428,11686327,11337867,11712841,11383167,12289989,11898619,11039137,11209237,11647848,11917335,11572016,12733457,13672414,13402599,13660423,13874758
Denmark,Non-metallic minerals,45074682,46870608,47775420,52720778,43902824,45002028,47406454,47623627,47449490,47298780,40796125,34396169,35458864,36877693,36475850,38721094,43396564,45792362,44057408,41954808,32557638,31419471,31656705,35057817,37322327,39687545,38857971,37316674,69788416,77688933,69895798,67200753,70301930,68184368,75305365,85831193,84767961,88624175,83500280,58178041,58873272,68226162,63356041,61902589,61685861,61611422,63331809,66175172,68691120,66516563,68578755,74781506,77550891,80394099,82974126
Djibouti,Biomass,382295,391737,402403,415116,408548,424832,445022,450275,462479,466626,495891,514772,543206,536172,551924,543558,568017,560849,572295,584337,582048,699890,602802,651231,561511,778272,678410,738574,1261937,1219357,1075043,913932,842356,791434,1020469,1023981,1226214,1551640,905616,1400181,1421648,5509721,10234781,8497155,7935557,6187735,4620503,4678673,3489326,3762930,4388731,5086020,5104494,5149143,5267133
Djibouti,Fossil fuels,150775,163389,178526,196264,218590,214819,254036,258733,245043,257085,265063,275633,266590,253445,263588,266338,275465,271370,278469,284296,291172,224282,292058,233619,213173,194520,172089,191825,218561,184680,210623,176584,182161,184723,189100,183827,247486,327282,283605,363469,476245,549013,524533,858403,742419,811907,873016,1117319,955952,1292438,1661399,1657346,1683414,1704744,1728198
Djibouti,Metal ores,115621,119839,129007,135819,149148,149794,163295,151848,136579,136681,143493,150419,154889,147712,153349,161795,160165,162960,151300,156244,145947,143112,187889,162072,163332,200611,170280,234231,193347,144352,153750,119051,136358,151264,158417,141598,181946,264172,218905,316101,461165,431725,380468,717154,552413,708591,704231,824499,519529,746449,991829,776202,755290,763886,794024
Djibouti,Non-metallic minerals,354490,367852,412305,444289,470379,468009,522172,535203,544592,567800,599023,680833,734510,854241,930442,999003,952719,915375,906851,899269,976601,736059,1287117,1399748,1875176,1359248,1394586,1026262,1290429,1184742,931588,695853,955820,1047659,1052212,997191,1038730,1482810,1200910,1769052,2075803,2430360,2066612,3834194,2263372,3356891,3534902,5282525,4429908,5918063,7281115,4656489,4690579,4913783,5201286
Dominican Republic,Biomass,18485051,20933721,21164372,21843589,23176565,22822358,25084994,25368956,24923687,24388444,23397815,23830628,27065913,27371349,26708379,22348360,21896123,22607816,21946724,22866057,21021030,22562759,24624536,22002251,22646835,21768009,22259937,22452880,21497855,19339799,17766731,16320578,20549299,14005890,18562342,21834172,24101227,27836818,28513563,28994839,30713588,29845524,29193240,29805529,28655030,27753229,26558467,27308232,27220118,26803326,33415904,33016532,33889399,34321977,34255543
Dominican Republic,Fossil fuels,8189145,8312754,8458806,8994288,9169326,8508929,8689465,8860342,7921122,8803560,8974820,8754279,8842980,8848578,10379835,4855686,5369682,4710631,4254726,5618976,7004667,5101697,6461804,6906437,6840601,6189073,7822917,7457995,9337112,9107735,9354682,10020087,7868398,6880560,5142289,6283549,5932098,7128513,7619170,6030997,6154325,8258544,9259551,8837008,7809859,7975385,8259088,9456804,9219704,10940014,10477828,11037191,11564619,11695828,11718383
Dominican Republic,Metal ores,800922,827405,2072175,2762137,3021982,2925606,2855576,2893926,1929640,2715133,2165878,2385680,1518226,2374929,3269774,2034557,1899708,2185371,1754489,2182201,4158813,4063942,3776720,2744160,2276996,1763228,1699115,2144551,2171506,2257808,2519469,2208133,2236310,1670805,1541277,2256732,2780438,2884180,3168249,2013646,2428117,2430334,2506029,2218652,2414967,2682792,2933393,3053823,3179480,3734401,3712450,4546182,4798120,4875010,5012425
Dominican Republic,Non-metallic minerals,2518542,2852746,3163061,3154406,3466280,3695638,4125774,4838590,4682743,4824031,5482532,5300382,5514051,6361622,7412376,3840047,4351054,4088468,4018401,5197490,5004367,4810536,9420371,8771008,10057142,17095446,16539507,19752686,24602518,26595177,26789733,23693419,29265961,24756195,22288466,24270780,23849176,22822179,24125925,16968510,19939284,18475875,31893806,30043706,33138990,36958280,41850700,37426651,32852067,35452861,35334949,39055746,41579662,43299957,43986681
Dem. Rep. Congo,Biomass,44318543,45190565,46634529,47676065,49417703,50653141,51793348,53924768,54704847,55691806,56280984,56980302,59041859,59256215,59144597,61202734,62770196,63183935,65643949,69524803,72045549,77103707,77542305,84405295,77945681,76111153,77442511,80565371,84864672,82367327,88116857,87744424,89097005,89751521,88613612,89066262,91129361,88959061,94382810,95719808,110082284,113103016,121047687,121897224,126429954,128249240,132221565,137599542,132097731,134247705,140274276,119056205,118176711,115142218,115398989
Dem. Rep. Congo,Fossil fuels,3965952,4849247,5336402,6186934,6851127,5729888,5688385,6281010,6978393,7025283,5778157,4315347,4112698,3464535,2589453,2811544,2878150,2329586,2516686,3816422,4832931,2588605,1961608,1376299,1320248,1368573,2036645,1157981,1965746,1018391,1233373,1007815,983062,1459118,1319203,1571870,1614273,2311450,2676675,2410988,3305510,3280212,3094833,4026961,4684972,4430658,4231565,4224238,5244204,4836718,5005322,5952865,6246660,6315550,6412404
Dem. Rep. Congo,Metal ores,2362548,2438852,2579941,2850564,2955560,2905409,2385957,2532817,2267709,2083388,1798518,1570101,1405360,1230077,1000558,1073429,1099385,930895,964407,1281427,1588288,893240,977611,509742,496484,553207,899349,435140,801381,552833,780393,698647,716627,1104100,1069255,1716508,2155465,2189928,4379722,4138102,4730979,5710145,5393659,5641912,7056644,6936334,6786125,6165163,7862382,6735285,7265414,7705308,8213942,8344836,8701018
Dem. Rep. Congo,Non-metallic minerals,7658027,8119106,8064214,8612413,8899976,8651769,8063926,8689691,10215292,9192677,8163703,7237366,7658150,7071899,5574267,5855660,6259487,5332621,5432498,7221958,8410452,5421527,4701599,6423825,6293540,7524171,11181596,6306996,11441800,6166978,10582300,11575392,14756221,16735866,23016670,27323297,27343052,20607169,26684774,21478909,24256316,23632008,26641826,25986594,28707685,29638852,28745691,36150699,44870040,42786136,44316804,49996203,53712785,55320327,58454813
Ecuador,Biomass,26519788,25643465,24644354,24815936,27364454,29360748,26850449,29592164,28304625,29332322,30693021,31432750,30289708,29716148,31939147,31464039,32883280,34056214,33698015,36117054,36755875,37808798,36112967,37834783,41986576,41592576,44227450,47370854,50024925,42494004,37899419,41990127,44646037,42919587,45150460,47045753,46295150,47749929,50152554,52748302,54605500,51606656,50844222,50392062,55555721,56999053,53137896,53948787,49985450,52523331,52174056,52763866,53862827,54494460,54106710
Ecuador,Fossil fuels,3178796,3039647,3123770,3339542,4073670,4050726,4466251,4829829,4646954,5091836,5557030,6326968,5824656,5137452,5347154,5374997,4852203,4445394,4262046,4406286,4462577,3663151,5401653,7602692,7162662,9091550,9501340,9650230,11885138,9030685,6719549,8989293,9405160,9765411,9631256,9684327,9144116,9216410,9710804,10567925,11894228,11347788,12165901,14545120,14550227,15256187,12810902,12895909,12895982,13819259,12192201,13923299,13772764,13990876,13974405
Ecuador,Metal ores,1588916,1482119,1523209,1635115,2023611,1998832,2205977,2262439,2148838,2285782,2406383,2648380,2364275,2081550,2235439,2341938,2001970,1855638,1776432,1878531,1805833,1929827,2244049,2801356,3062680,3735468,3952701,4676720,5104708,3537601,3540698,4836332,5460469,5212059,5486753,5760420,5863456,6026785,6892997,6182867,7003394,8192814,8229546,8880549,8921311,7988713,6528929,7646802,7357408,7119541,5926622,7116974,7041734,7079821,7235827
Ecuador,Non-metallic minerals,5453461,5770674,5891097,7053837,8186269,9265259,11669387,14068426,15578334,19687592,22864500,19120470,17924960,16403249,19803215,21997818,26859464,20668736,23937915,22040411,23910955,22283695,21704878,21463229,24763100,25828607,26555325,26296630,30157250,25197644,28153298,35205875,37280113,37129835,35873320,37584097,43914610,46734365,52655120,62313459,59963078,65373033,41178527,77911876,77577817,59087938,55286833,55248717,57239034,56609533,46570075,47154643,48853102,50457979,51121587
Egypt,Biomass,76743837,78199633,78607574,78489350,78016319,81104616,83823732,82671298,86242462,83209185,84761797,83029061,85546219,86997617,90585251,94487308,97175282,97027433,102641635,106914402,110880013,121469525,128607829,130259609,138412705,146614706,141178946,153727193,163590365,180509239,170978532,177259738,174366956,142813064,158065039,170034399,187465365,193082140,199581565,194861260,194473806,207110190,220288478,211803866,225122315,232674107,216742594,219198886,211452258,215342768,224892107,232567612,235777573,234725624,235902393
Egypt,Fossil fuels,42398830,40682558,36368188,30105106,24529589,26396076,32374170,38530677,41295982,30397992,32002064,23267479,26158595,30820057,36837130,40259939,37433658,38744536,38300239,40491298,42750497,30539956,37491679,37146687,38682489,35592595,38592555,39064998,40012919,43052280,41258324,39279856,35617039,34829445,27954035,30939074,32391493,35402408,44284930,48938047,56916209,56094425,74467147,70616358,76846929,70614017,68087786,68471497,65249887,78877658,67614063,75095909,75976337,74560602,73548302
Egypt,Metal ores,17492057,17081975,17288597,16317493,16129863,15918905,17158106,17603303,17639911,12399341,13666832,11094521,11857871,13163879,14307682,15108817,13988496,13299256,12480351,12628911,13394105,10695772,11153915,9606515,10132238,8533364,8414250,11086559,12414962,10577296,10562781,9469593,8918347,6629811,6339878,9128891,11065687,13690662,14609695,15694885,15543435,14314132,17756575,17047339,19381248,20262985,15927096,17023240,19356097,19929261,20607707,23853659,24063574,23085294,22864795
