Country,Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Angola,Fossil fuels,1547739,1554640,1651616,2456010,2597102,1863695,1887102,1824990,1973836,2064970,2419776,2548411,2614436,2836658,3131159,3527846,3278951,3516206,3720207,4270376,4199486,4527214,7867718,10568803,10633831,2392954,2532047,3057185,3182475,3582361,3314810,4012666,3512032,4127820,4236516,5925468,5412669,8826127,13022773,15117714,10211114,12877077,14069564,14847183,14534307,12713241,9081791,9381826,7100843,4129908,5096464,4429550,5039699,4617271,4533465
Angola,Metal ores,5085329,5033736,4331938,4838671,4502926,3513613,3327943,3221097,1675672,1667293,1816877,1744458,1692025,1746995,1861376,2133622,1846624,1848073,1788696,1930339,1777741,1881713,4654764,6317635,7773518,2530260,2939787,3212536,3034864,3391605,2665989,3426226,3714992,4766647,5158535,7205158,6682211,11206313,17411122,21468470,14776921,20979766,19740299,20308582,19242590,14141290,9753707,9293294,6682714,3608800,3640627,3644881,4134264,3786047,3809559
Angola,Non-metallic minerals,7930142,8133405,8221358,8000332,8172609,5853596,3454508,3519831,4146857,4537172,4556288,4747636,4683060,4429820,5545872,6123575,5396088,5721994,8491376,6104461,4827011,9176626,15069663,18097113,23200341,14103283,15554176,18746488,17407722,15749972,16494774,18297174,20669872,19973435,18579286,22989923,18939700,29372818,41291057,46781520,36804576,48997943,58938533,56208797,60048167,76643188,75093528,33423281,31855362,26354496,45404305,32506540,37376891,35784923,36963592
Argentina,Biomass,280095741,290816044,284862923,314719008,318006535,314042810,323022808,333519174,328793487,321981327,303625622,327827000,329667723,331901320,338700648,330590557,321227080,304120337,314883289,286619104,302667821,325232720,338134810,325500537,323940355,309383053,301557981,328851007,354321462,331514375,344772576,341694039,310263536,318074852,319845241,343767914,348617800,373110484,375538651,297004584,355015886,370616681,367367811,410704665,416033604,446883641,451971027,492747448,430735040,452181258,459095886,440991549,450095245,453037145,457208525
Argentina,Fossil fuels,24021057,25990149,25615268,24849460,24836582,25009241,25038622,26133810,26043185,28093354,28906709,29239290,30369222,32166792,32602877,31935632,32367240,33169956,36498490,32295901,36546124,39920240,46523153,47266472,49312776,48485297,54955417,59564212,61011569,62757825,57751039,54121085,40973485,39178011,41641450,41839110,43424691,46736802,52802183,46402302,50470442,56452944,55084971,61067848,64055243,67711129,65439204,71314343,69921967,61205287,55264861,59871474,64537619,63888651,63415703
Argentina,Metal ores,4745001,5091550,4604356,4340666,4838582,4556315,5052143,5260249,4765499,5630285,5006177,4804493,5597043,5554014,6042838,6271244,6615245,6122217,6878438,4979977,5307522,7474122,12297505,14050158,15475194,13558882,14902290,20226708,33878945,36098795,28338095,26937835,17774884,16715243,18302166,19660840,20342779,23395211,22500125,20131903,24783480,27550517,28011655,31699790,29557837,30293575,30949686,38377881,32356429,26136367,23363903,26794294,28976164,28729674,29055082
Argentina,Non-metallic minerals,85425033,87250463,82966530,77514286,79258989,76599246,78962663,85003449,91439528,99355741,99640630,94971559,77988468,74194261,69813655,67207452,73329974,95456766,87651557,58879212,47388912,51765797,69692362,86935590,97596376,89650010,91660523,110220163,122470770,112084032,98825251,78930123,53817438,69462977,88735212,103840631,109673747,130994732,118511556,111620052,126227876,170890514,163218481,172971484,154273575,157008573,141827054,182586899,168835179,161076307,153882233,178070241,192677417,201805870,210880051
Armenia,Biomass,,,,,,,,,,,,,,,,,,,,,,,4947974,4434920,4288941,4695636,4857176,4621207,4785319,4528213,4284984,4519274,4974326,5303688,6084250,6164626,6215602,7528193,9020580,8247704,7753449,8835691,9048671,9307004,9547268,9094101,8861550,8204438,7355376,7001989,7230877,7366866,7086332,6650617,6740227
Armenia,Fossil fuels,,,,,,,,,,,,,,,,,,,,,,,1104099,988561,671914,921888,1093257,1335190,1745907,2311667,1878465,1337570,1077976,995171,954753,1138220,1259763,1731644,2328226,2303805,2590002,2492055,3069178,3400669,3476101,2788192,2402147,2997181,3856472,4967855,3847441,4731745,5181580,5673393,5675666
Armenia,Metal ores,,,,,,,,,,,,,,,,,,,,,,,401232,490120,352850,424817,487315,551972,616535,680189,639383,512782,558289,689411,725600,908708,990065,1539860,3198950,2629889,2791922,3154627,2290826,2496200,2220043,1606863,1563027,1560385,1481635,1816475,2090249,1914527,2215278,2436406,2541208
Armenia,Non-metallic minerals,,,,,,,,,,,,,,,,,,,,,,,4032575,2824990,2167725,3729288,4635578,4808888,5480454,5041677,12235075,11800196,10457053,9930020,10838753,11951215,13009517,14981673,28734844,24282036,8335424,6243485,6156053,5882194,5922062,7411936,6502728,7300922,8273240,8143469,11066298,6602852,7081864,7358440,7777308
Australia,Biomass,215726835,226479364,227803006,236868408,246821126,259311675,261419876,243085578,240022509,230585185,227369127,234953367,224412882,225730193,230250714,228959302,226457263,220121075,230056996,238478125,249667341,225215545,220596183,226555539,256690113,259919538,261576825,273751348,288133229,265751242,275113858,272210493,273355429,292508889,304461803,305685810,300965909,274912888,215462177,219573396,229963420,231430174,239044059,222035252,213635555,192065488,217623143,202232030,196444137,173985689,172532481,172348165,173755651,173297993,172525434
Australia,Fossil fuels,38389488,41842226,46390143,54207098,55959442,56700762,58768037,56969942,55026469,58208307,59944029,66826446,65457870,65415439,70308384,69575285,64790181,69983046,72082447,79492417,86804154,82082681,87707077,85810804,82278407,88064067,88672757,91441675,96406428,98961660,102628144,112637281,126744675,147789900,152730012,164065162,168185364,181978755,172806775,189206681,187301402,194870466,202657385,200657502,205870321,195718904,194076591,204614802,209214053,208210434,221853845,210928288,204536301,202480263,196677155
Australia,Metal ores,35995871,39608104,42374466,51086752,54860824,54159097,55939904,51230452,46862210,48872470,50959660,53694073,51968265,48380229,57400933,56102063,52385596,57660458,67212940,77684953,77424843,80226336,81537507,78852897,61907751,108216194,77118536,101269710,97288729,97610725,87450526,113054870,94838804,107352124,117767916,125195972,124249524,141107923,106562010,113237263,164528105,127080416,112730499,112084522,109276789,121531221,122781857,149004983,140993099,170771121,130475839,142589915,141540454,141707360,142639663
Australia,Non-metallic minerals,97529784,101116029,105249628,113815376,120970931,119415409,117650886,113973655,115233014,117080955,143012989,147400393,148651144,134592839,144019592,132932181,131083555,130499582,137783714,143647761,139723155,139916991,145489049,152710716,163553048,167394968,163567164,164831864,168940709,160647854,167187846,167884898,186648663,205385918,233013883,246828175,259466903,282634917,262105130,267575931,247225619,273037949,267272617,251860691,272584403,259121561,238624647,281445450,286617847,291379102,277761953,301785864,308665111,314418810,319103240
Austria,Biomass,35058316,36031583,36232371,37884919,39132558,38557376,39423074,39585779,40457239,40510060,41895329,40138350,42329460,40690564,42326055,42238669,42548422,43218017,44146539,43913651,44911616,43042672,48431581,42674189,43692241,43935040,43044379,45038779,45705603,45265798,42897692,43111507,42608714,43926564,49831094,47021741,47535178,48623935,50541900,49617582,50550771,52554550,51400906,50085949,52562677,48850470,50298434,50102320,50398717,49157656,48940315,52658893,52484317,53122226,53397177
Austria,Fossil fuels,26658766,27953952,29200973,32802515,32513206,32847739,34818309,36233594,36907420,41277332,38507987,30653499,30084756,29557852,28952407,29766107,36256101,40850719,42528652,42086717,41740944,36288001,43190227,37756979,38230311,41341224,38837581,37685736,39797748,40732559,39315636,40499041,40448459,45594373,45797326,44515290,47573836,50718313,49348210,45182421,49242167,48200705,47478158,46947239,46294842,44591794,46036113,48430687,48700801,45881501,44629572,48445630,44585904,47150734,47029795
Austria,Metal ores,15365442,15809094,16313447,17404239,16961426,16523382,17953591,17626105,17626613,18489012,18489837,16114618,16631982,16680039,16702945,16965720,18476517,19418313,19221682,18366240,18911831,17952460,19866587,17597969,17277981,22291006,22585620,21871142,22549081,22686059,23097227,22817273,22666937,26404638,24090939,21534394,22923838,24004915,23182250,21341912,23567389,22760373,22287465,22162806,21431444,20310245,20715732,21342449,21500289,20995185,21109601,24692225,23871654,24926769,25543201
